Date,Temperature
2024-01-01,2.6
2024-01-02,20.38
2024-01-03,-6.64
2024-01-04,25.82
2024-01-05,26.37
2024-01-06,27.12
2024-01-07,11.5
2024-01-08,14.39
2024-01-09,17.5
2024-01-10,10.21
2024-01-11,-6.54
2024-01-12,25.25
2024-01-13,3.71
2024-01-14,-0.87
2024-01-15,26.08
2024-01-16,24.37
2024-01-17,15.18
2024-01-18,20.9
2024-01-19,5.66
2024-01-20,25.3
2024-01-21,12.39
2024-01-22,23.84
2024-01-23,14.99
2024-01-24,25.86
2024-01-25,8.6
2024-01-26,1.17
2024-01-27,25.57
2024-01-28,-5.92
2024-01-29,3.74
2024-01-30,27.39
2024-01-31,-8.42
2024-02-01,17.83
2024-02-02,6.49
2024-02-03,1.78
2024-02-04,-7.05
2024-02-05,4.96
2024-02-06,6.93
2024-02-07,28.26
2024-02-08,11.07
2024-02-09,24.83
2024-02-10,2.25
2024-02-11,-1.61
2024-02-12,-0.82
2024-02-13,5.41
2024-02-14,21.16
2024-02-15,-2.94
2024-02-16,27.05
2024-02-17,-9.18
2024-02-18,-2.32
2024-02-19,9.32
2024-02-20,27.43
2024-02-21,0.43
2024-02-22,17.22
2024-02-23,27.89
2024-02-24,20.77
2024-02-25,18.37
2024-02-26,11.5
2024-02-27,16.81
2024-02-28,-1.52
2024-02-29,-1.92
2024-03-01,-1.14
2024-03-02,10.21
2024-03-03,18.94
2024-03-04,10.12
2024-03-05,25.11
2024-03-06,5.12
2024-03-07,8.02
2024-03-08,-5.77
2024-03-09,10.87
2024-03-10,24.42
2024-03-11,5.95
2024-03-12,-7.88
2024-03-13,6.13
2024-03-14,25.87
2024-03-15,16.27
2024-03-16,-3.55
2024-03-17,-2.63
2024-03-18,1.43
2024-03-19,8.56
2024-03-20,15.96
2024-03-21,0.2
2024-03-22,-8.4
2024-03-23,18.98
2024-03-24,10.08
2024-03-25,21.24
2024-03-26,28.14
2024-03-27,13.67
2024-03-28,-2.46
2024-03-29,-0.16
2024-03-30,18.77
2024-03-31,-6.71
2024-04-01,-9.13
2024-04-02,29.0
2024-04-03,18.92
2024-04-04,18.23
2024-04-05,13.83
2024-04-06,26.78
2024-04-07,7.29
2024-04-08,29.73
2024-04-09,0.98